update,global_step,mean_reward,policy_loss,value_loss,entropy,approx_kl
1,512,-121.04436944141017,-0.010863104311283678,8.95784342288971,4.0633013397455215,0.011790377116994932
2,1024,-226.17223033224664,-0.014328743622172624,7.228528916835785,4.0226886048913,0.013588263711426407
3,1536,-305.7700800319733,-3.023992758244276e-05,4.57364547252655,4.0108627602458,0.007385669305222109
4,2048,-369.30656739920994,-0.017526350915431976,2.4455913230776787,3.9712959975004196,0.01383318190346472
5,2560,-413.4971206895327,-0.01819341431837529,4.217093661427498,3.915548697113991,0.01916959253139794
6,3072,-472.27357773936046,-0.0073305596888531,4.40643073618412,3.8749691918492317,0.0075450403383001685
7,3584,-517.3429554929465,-0.009327670210041106,4.152778223156929,3.850879020988941,0.011695736175170168
8,4096,-541.638134299335,-0.01565932366065681,5.679013788700104,3.7796140536665916,0.010752136120572686
9,4608,-517.1026350288896,-0.003558059921488166,2.7443823274224997,3.755326844751835,0.0053208555909805
10,5120,-475.9443157255429,-0.00371886498760432,3.3108359575271606,3.7530757263302803,0.008712592330994084
11,5632,-442.4667300548869,0.010907351330388337,4.809928588569164,3.6819774359464645,0.015264568181009963
12,6144,-418.85415661519517,-0.003719123196788132,3.417882665991783,3.537460133433342,0.012009098631097004
13,6656,-373.90071006405935,0.016730945324525237,3.4394983053207397,3.5816646739840508,0.01631358321174048
14,7168,-304.0990930702375,0.01860898925224319,4.6555497497320175,3.496383808553219,0.012726383487461135
15,7680,-236.2431070343422,0.001036339730489999,3.1847635582089424,3.4195223823189735,0.010574583779089153
16,8192,-178.5909152205047,0.0012134398566558957,3.271452810615301,3.3069529235363007,0.010861297399969772
17,8704,-126.38763216574372,-0.008403934305533767,4.432568088173866,3.1892204135656357,0.010456929594511166
18,9216,-63.36171851211808,-0.0002632712130434811,3.0050334110856056,3.1096679344773293,0.009152741404250264
19,9728,-22.26365534016008,-0.01699183147866279,4.153230629861355,2.9843619242310524,0.008420007477980107
20,10240,49.43209349837537,0.00037477881414815784,3.0054091960191727,3.258574567735195,0.009164330025669187
21,10752,49.43209349837537,-0.006438796524889767,2.426838856190443,3.0113951563835144,0.00729726004647091
22,11264,49.43209349837537,-0.010045405884739012,3.491320937871933,2.9553335458040237,0.009392124105943367
23,11776,49.43209349837537,-0.004633255011867732,2.3752539232373238,2.894452080130577,0.006876457075122744
24,12288,49.43209349837537,-0.006311679899226874,2.4975127279758453,2.8258545249700546,0.007928516599349678
25,12800,49.43209349837537,0.0025507014943286777,2.49385042861104,2.8443863466382027,0.011222823202842847
26,13312,49.43209349837537,-0.008004534989595413,2.438675630837679,2.743721902370453,0.005964622745523229
27,13824,49.43209349837537,-0.007370677776634693,2.958265632390976,2.613024666905403,0.007385159551631659
28,14336,49.43209349837537,-0.008176294504664838,2.1606668420135975,2.504986308515072,0.006529445498017594
29,14848,49.43209349837537,-0.003929095633793622,2.4752572253346443,2.4803249314427376,0.0040057943551801145
30,15360,49.43209349837537,-0.00438950042007491,1.924145933240652,2.50897004455328,0.0065742641454562545
31,15872,49.43209349837537,-8.30064236652106e-05,2.8895824886858463,2.50530207157135,0.008520771487383172
32,16384,49.43209349837537,-0.007086015539243817,3.0419197976589203,2.3595976158976555,0.008402497158385813
33,16896,49.43209349837537,-0.013515369675587863,3.9273873940110207,2.4345686957240105,0.008707216416951269
34,17408,49.43209349837537,-0.011862540792208165,4.649817153811455,2.44126246124506,0.006163552752695978
35,17920,49.43209349837537,-0.006686420296318829,3.6184324845671654,2.434901900589466,0.009336890245322138
36,18432,49.43209349837537,-0.0033259018673561513,2.1527930982410908,2.413036733865738,0.005795859295176342
37,18944,49.43209349837537,-0.010554834734648466,4.539681546390057,2.5081577599048615,0.012243888835655525
38,19456,49.43209349837537,-0.003031420666957274,3.785627793520689,2.5676035806536674,0.005143241403857246
39,19968,49.43209349837537,-0.004868441494181752,3.059426825493574,2.5806430280208588,0.0063798521587159485
40,20000,725.850070897933,-0.0009333621710538864,8.582735776901245,2.502106785774231,0.0002029603347182274
