update,global_step,mean_reward,policy_loss,value_loss,entropy,approx_kl
1,512,-138.2408360324247,-0.002893460914492607,10.778693482279778,4.074080511927605,0.008097128971712664
2,1024,-282.9318717363937,-0.01591044245287776,8.125242955982685,4.058088809251785,0.015214203536743298
3,1536,-390.18114962585,-0.008839824295137078,8.511258602142334,4.011188939213753,0.014181851933244616
4,2048,-498.2823597624488,-0.01458730356534943,4.088445968925953,4.0159656554460526,0.014910703233908862
5,2560,-576.7056422437314,-0.013100637937895954,4.5911979004740715,3.9479324743151665,0.017679880460491404
6,3072,-701.2430019069604,-0.007731331163085997,5.961153581738472,3.8887720331549644,0.006820535287261009
7,3584,-895.3459496359895,-0.008067303686402738,13.506268054246902,3.8448646143078804,0.003908205195330083
8,4096,-1122.1760498981866,-0.005546766391489655,14.640062242746353,3.813562862575054,0.001886322657810524
9,4608,-1466.8523179400347,-0.0010069417767226696,35.56500726938248,3.790685199201107,0.0003974023857153952
10,5120,-1721.5005226585254,-0.0060375776956789196,15.87675005197525,3.8018115386366844,0.002877233811886981
11,5632,-2175.7335592854283,-0.003512687864713371,63.99411356449127,3.82491272687912,0.0007952641462907195
12,6144,-2683.7104619017755,-0.002438452240312472,82.76791882514954,3.816381514072418,0.00044529762817546725
13,6656,-3268.352151814946,-0.007231772819068283,116.44422912597656,3.835842549800873,0.0012099066807422787
14,7168,-3840.095132201273,-0.0020139586995355785,102.53314471244812,3.8482540026307106,0.0006958387966733426
15,7680,-4475.38404458026,-0.002890311530791223,129.79442691802979,3.85558645427227,0.0003957011504098773
16,8192,-5148.907715526895,-0.002005307236686349,147.47151613235474,3.864959828555584,0.0003577154711820185
17,8704,-5909.950075324946,-0.0027228202670812607,195.77744436264038,3.8815013244748116,0.00042366169509477913
18,9216,-6670.426267014866,-0.003247739397920668,191.98631811141968,3.8939113542437553,0.0005118134140502661
19,9728,-7458.9969604118205,-0.0034315657685510814,205.590651512146,3.8975378423929214,0.0005501217092387378
20,10240,-7910.168834446572,-0.0075972494669258595,119.87279295921326,3.908900149166584,0.002261738001834601
21,10752,-7910.168834446572,-0.01623092219233513,7.714260473847389,3.843208260834217,0.010826431651366875
22,11264,-7910.168834446572,1.9985251128673553e-05,5.609675630927086,3.8519884645938873,0.009790590120246634
23,11776,-7910.168834446572,0.0017286618240177631,4.204560644924641,3.8344431295990944,0.011709922197042033
24,12288,-7910.168834446572,-0.005039680283516645,6.4742861688137054,3.813132829964161,0.011487736250273883
25,12800,-7910.168834446572,-0.008726152940653265,11.86830797791481,3.7113648429512978,0.01540161352022551
26,13312,-7910.168834446572,-0.006244884920306504,24.783131062984467,3.7188233211636543,0.003521405305946246
27,13824,-7910.168834446572,-0.0031283185817301273,42.62725305557251,3.713705688714981,0.0007164590642787516
28,14336,-7910.168834446572,-0.0022039214381948113,50.23414850234985,3.717928037047386,0.0003876427363138646
29,14848,-7910.168834446572,-0.005963922594673932,64.08923578262329,3.7509378492832184,0.0012625069066416472
30,15360,-7910.168834446572,-0.0040362856816500425,86.10439538955688,3.7865395843982697,0.000894925877219066
31,15872,-7910.168834446572,-0.007340849144384265,129.06092476844788,3.8286093696951866,0.0012960845197085291
32,16384,-7910.168834446572,-0.0027796754729934037,147.68788528442383,3.872105024755001,0.0007449661497958004
33,16896,-7910.168834446572,-0.00290503678843379,170.09065961837769,3.890674501657486,0.00043015021947212517
34,17408,-7910.168834446572,-0.005867203988600522,148.3986496925354,3.8990110009908676,0.0008936561935115606
35,17920,-7910.168834446572,-0.01049792522098869,152.63317108154297,3.927549257874489,0.0022181211970746517
36,18432,-7910.168834446572,-0.00914186000591144,143.68125915527344,3.955281101167202,0.0017432993045076728
37,18944,-7910.168834446572,-0.007758177351206541,127.3171374797821,3.9665905609726906,0.0019465023360680789
38,19456,-7910.168834446572,-0.015229924931190908,115.33083510398865,3.9752934873104095,0.0038052334857638925
39,19968,-7910.168834446572,-0.015745340089779347,83.89339256286621,3.9479206278920174,0.004824629024369642
40,20000,-8909.029933902215,-0.001285984180867672,224.69659805297852,3.9306408762931824,1.8246471881866455e-05
