update,global_step,mean_reward,policy_loss,value_loss,entropy,approx_kl
1,512,-112.84889010424024,-0.009285883395932615,9.811081320047379,4.064206600189209,0.013898126664571464
2,1024,-228.62374893651054,-0.008180054719559848,6.004183813929558,4.030109390616417,0.009949006460374221
3,1536,-335.6843951697386,-0.00734914094209671,7.863686814904213,4.008629530668259,0.011006060376530513
4,2048,-437.424978034092,-0.007191293814685196,5.927577331662178,4.000500559806824,0.00832093323697336
5,2560,-548.0064985496809,-0.012959249317646027,4.197193622589111,3.9533017724752426,0.01075203699292615
6,3072,-683.009464122449,-0.007626428327057511,7.519123271107674,3.9312871769070625,0.007058422255795449
7,3584,-925.0250630042577,-0.006202132848557085,19.761312156915665,3.871166877448559,0.0023537571541965008
8,4096,-1177.15465829169,-0.005516597273526713,16.884953022003174,3.8330381140112877,0.0019030592520721257
9,4608,-1493.13900157679,-0.0045370923762675375,30.65551918745041,3.792355164885521,0.0018580572213977575
10,5120,-1731.9198721907637,-0.0053002191125415266,14.272421270608902,3.8080084919929504,0.0034259348176419735
11,5632,-2173.822087389049,-0.004220581031404436,58.80554687976837,3.822300858795643,0.0014624616887886077
12,6144,-2642.662481750647,-0.003670322534162551,68.81327104568481,3.79477608948946,0.0010912192228715867
13,6656,-3224.188832405027,-0.008696037577465177,114.57153797149658,3.7996789813041687,0.0019043933425564319
14,7168,-3808.993142782764,-0.0016937385662458837,110.26892328262329,3.812218129634857,0.0005400138616096228
15,7680,-4478.884787361326,-0.002136534370947629,148.14094305038452,3.813353978097439,0.00037927599623799324
16,8192,-5171.83928090565,-0.0024306049454025924,158.5771517753601,3.81168195605278,0.00041660835267975926
17,8704,-5938.831894260998,-0.0025246759760193527,201.731041431427,3.822279766201973,0.00040131175774149597
18,9216,-6713.347421126549,-0.0009193540900014341,202.24527740478516,3.8351836800575256,0.0003180111525580287
19,9728,-7533.8903227861965,-0.00283254255191423,225.73021411895752,3.8411898985505104,0.0004627023299690336
20,10240,-8028.021809014479,-0.008403305197134614,147.5198905467987,3.852025255560875,0.002744069352047518
21,10752,-8028.021809014479,-0.007115782063920051,8.54793994128704,3.807907924056053,0.007507021975470707
22,11264,-8028.021809014479,-0.0012258312781341374,4.996262416243553,3.8123979046940804,0.012391292257234454
23,11776,-8028.021809014479,0.00826673663686961,3.8562522903084755,3.7577604353427887,0.01286648097448051
24,12288,-8028.021809014479,-0.009768783231265843,9.897171974182129,3.690250463783741,0.013482193811796606
25,12800,-8028.021809014479,-0.00982249656226486,15.029826253652573,3.656466670334339,0.0056439236795995384
26,13312,-8028.021809014479,-0.0024385995347984135,34.56894010305405,3.5965840816497803,0.0011422364332247525
27,13824,-8028.021809014479,-0.005330977379344404,62.785372495651245,3.6049684882164,0.0011561948631424457
28,14336,-8028.021809014479,-0.002057590987533331,62.50676786899567,3.6187940314412117,0.0003268335130997002
29,14848,-8028.021809014479,-0.0033324185060337186,77.83801126480103,3.627459727227688,0.0005461145774461329
30,15360,-8028.021809014479,-0.006858713633846492,98.03613066673279,3.626310184597969,0.001217659591929987
31,15872,-8028.021809014479,-0.007023048412520438,141.7641658782959,3.670074552297592,0.0016321535222232342
32,16384,-8028.021809014479,-0.003678058856166899,174.51159238815308,3.698961988091469,0.0007849563844501972
33,16896,-8028.021809014479,-0.003201833227649331,184.26365423202515,3.7044776678085327,0.0004498815396800637
34,17408,-8028.021809014479,-0.005536620854400098,157.07517957687378,3.7074241414666176,0.0008233956468757242
35,17920,-8028.021809014479,-0.01019419773365371,169.39964151382446,3.7453236430883408,0.002401051897322759
36,18432,-8028.021809014479,-0.006228149286471307,151.0527377128601,3.7625571191310883,0.0014379557687789202
37,18944,-8028.021809014479,-0.0067298103822395205,142.5925097465515,3.7705113738775253,0.0017588540213182569
38,19456,-8028.021809014479,-0.01328010787256062,132.63045239448547,3.78303599357605,0.003790093323914334
39,19968,-8028.021809014479,-0.007128977274987847,95.60178208351135,3.7644504234194756,0.0021896066318731755
40,20000,-9280.425746715613,-0.0014620525762438774,248.7741470336914,3.7400325536727905,2.619624137878418e-05
