update,global_step,mean_reward,policy_loss,value_loss,entropy,approx_kl
1,512,-72.88496994991492,-0.008725464285816997,5.597243681550026,4.080521494150162,0.018134083424229175
2,1024,-214.62007086953454,-0.003138586936984211,8.023285612463951,4.0840965658426285,0.006277648994000629
3,1536,-326.7224702759658,-0.006470758351497352,7.572151750326157,4.058313295245171,0.009957454109098762
4,2048,-401.3867439986722,-0.011203581932932138,3.6067783758044243,4.036190539598465,0.01097411842783913
5,2560,-488.69888003249,-0.012764647777657956,3.744369000196457,4.0006765350699425,0.012146507244324312
6,3072,-594.1515222332713,-0.0071762349689379334,4.662323273718357,3.9832516238093376,0.007196661055786535
7,3584,-744.839651790749,-0.007867055363021791,9.762211188673973,3.9212255030870438,0.007165404182160273
8,4096,-897.612362346119,-0.003679315239423886,6.216236844658852,3.8974756598472595,0.0031172038870863616
9,4608,-1101.9702036633196,-0.008818379428703338,12.011195659637451,3.849473111331463,0.004783462354680523
10,5120,-1283.9892086897887,-0.003574375936295837,7.905312284827232,3.846048265695572,0.00243624797440134
11,5632,-1635.6835075999252,-0.006995466537773609,34.51977950334549,3.842655763030052,0.0022779216815251857
12,6144,-1988.7428902866247,-0.004060716571984813,35.928143322467804,3.8219913318753242,0.001141855667810887
13,6656,-2424.631017131944,-0.005560852296184748,56.44738507270813,3.807477816939354,0.0012453855015337467
14,7168,-2903.6505076654103,-0.004702841921243817,68.38936471939087,3.7981427535414696,0.0013102052034810185
15,7680,-3435.8568186827256,-0.0016659001121297479,82.3683168888092,3.791619747877121,0.00026596285169944167
16,8192,-4025.22080261157,-0.0015630089328624308,108.02141690254211,3.7844451293349266,0.0002781978982966393
17,8704,-4669.051285445932,-0.00183388392906636,131.03934049606323,3.7915746569633484,0.0002682007907424122
18,9216,-5349.184853141327,-0.0009214720921590924,146.02421712875366,3.7967275232076645,0.00020764934015460312
19,9728,-6081.177138234672,-0.002362469327636063,171.82006978988647,3.7983327507972717,0.0003009776119142771
20,10240,-6531.408754128786,-0.00783090601908043,122.66879534721375,3.807662270963192,0.002370473026530817
21,10752,-6531.408754128786,-0.006530207931064069,12.17679437994957,3.765425704419613,0.004514225613093004
22,11264,-6531.408754128786,-0.011324699327815324,5.639847010374069,3.7320359274744987,0.013221610832260922
23,11776,-6531.408754128786,0.006874333892483264,4.315222457051277,3.686281844973564,0.0077692888444289565
24,12288,-6531.408754128786,-0.009025314153404906,10.150780662894249,3.616131544113159,0.007995257474249229
25,12800,-6531.408754128786,-0.0023749240208417177,22.074989438056946,3.570539489388466,0.0011762997310142964
26,13312,-6531.408754128786,-0.002266204624902457,40.59204536676407,3.549154095351696,0.0006610733980778605
27,13824,-6531.408754128786,-0.003482573200017214,84.76360535621643,3.6082324758172035,0.0009091452229768038
28,14336,-6531.408754128786,-0.00511595350690186,90.88018751144409,3.639880523085594,0.0006146700761746615
29,14848,-6531.408754128786,-0.0021771774045191705,112.06467890739441,3.674391746520996,0.000532066187588498
30,15360,-6531.408754128786,-0.006904898211359978,134.183762550354,3.7077118679881096,0.0010101464577019215
31,15872,-6531.408754128786,-0.008432263159193099,184.23805046081543,3.7607974261045456,0.0013823322660755366
32,16384,-6531.408754128786,-0.006394291995093226,182.5003800392151,3.8080019503831863,0.0011006303830072284
33,16896,-6531.408754128786,-0.0031187396962195635,202.9113941192627,3.8294204846024513,0.0003517461591400206
34,17408,-6531.408754128786,-0.008689423906616867,173.51349115371704,3.8411166220903397,0.001453536591725424
35,17920,-6531.408754128786,-0.012269330327399075,166.00655889511108,3.883439838886261,0.0031497140298597515
36,18432,-6531.408754128786,-0.01195718499366194,137.8849699497223,3.903657577931881,0.0025807229394558817
37,18944,-6531.408754128786,-0.00921521638520062,117.37518858909607,3.8948029056191444,0.0027080083964392543
38,19456,-6531.408754128786,-0.012966073001734912,102.78814125061035,3.877507045865059,0.003630910359788686
39,19968,-6531.408754128786,-0.019794186751823872,73.223357796669,3.825453206896782,0.006649076967732981
40,20000,-8662.734293926811,-0.0009270426817238331,259.26697540283203,3.799511432647705,7.359776645898819e-06
